model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.88621,0.9585,10.0,64,28000,12000
rssm,posterior,state,0,1,0.95029,0.94905,10.0,640,28000,12000
rssm,post_deter,state,0,1,0.89231,0.88075,10.0,512,28000,12000
rssm,post_stoch,state,0,1,0.2633,0.42953,1000.0,128,28000,12000
rssm,prior,state,0,1,0.91483,0.90277,10.0,640,28000,12000
rssm,enc,state,1,1,0.34237,0.40808,10.0,64,27972,11988
rssm,posterior,state,1,1,0.43299,0.30702,1000.0,640,27972,11988
rssm,post_deter,state,1,1,0.42976,0.31598,1000.0,512,27972,11988
rssm,post_stoch,state,1,1,0.06425,0.10512,1000.0,128,27972,11988
rssm,prior,state,1,1,0.43171,0.3032,1000.0,640,27972,11988
rssm,imag1,state,1,1,0.91483,0.90105,10.0,640,27972,11988
rssm,enc,state,5,1,0.12585,0.08198,10.0,64,27860,11940
rssm,posterior,state,5,1,0.13419,-0.13099,1000.0,640,27860,11940
rssm,post_deter,state,5,1,0.13455,-0.1116,1000.0,512,27860,11940
rssm,post_stoch,state,5,1,0.01573,-0.01987,1000.0,128,27860,11940
rssm,prior,state,5,1,0.13451,-0.1232,1000.0,640,27860,11940
rssm,imag5,state,5,1,0.83086,0.79972,1000.0,640,27860,11940
rssm,enc,state,20,1,0.01054,-0.07655,1000.0,64,27440,11760
rssm,posterior,state,20,1,-0.00075,-0.34868,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.00117,-0.31444,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.00369,-0.07171,1000.0,128,27440,11760
rssm,prior,state,20,1,-0.00015,-0.32602,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.62248,0.53514,1000.0,640,27440,11760
rssm,enc,gait_phase,0,1,0.45006,0.46523,10.0,64,28000,12000
rssm,posterior,gait_phase,0,1,0.54233,0.39792,1000.0,640,28000,12000
rssm,post_deter,gait_phase,0,1,0.5382,0.40452,1000.0,512,28000,12000
rssm,post_stoch,gait_phase,0,1,0.08434,0.15,10.0,128,28000,12000
rssm,prior,gait_phase,0,1,0.53942,0.40495,1000.0,640,28000,12000
rssm,enc,return_to_go,0,1,0.17239,-0.04519,10.0,64,28000,12000
rssm,posterior,return_to_go,0,1,0.18495,-0.15739,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,0.18792,-0.13426,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,0.06471,-0.02423,1000.0,128,28000,12000
rssm,prior,return_to_go,0,1,0.18607,-0.19871,1000.0,640,28000,12000
rssm,enc,time_to_fall,0,1,0.41857,0.69,0.001,64,28000,12000
rssm,posterior,time_to_fall,0,1,0.54266,0.58947,1000.0,640,28000,12000
rssm,post_deter,time_to_fall,0,1,0.52545,0.56339,1000.0,512,28000,12000
rssm,post_stoch,time_to_fall,0,1,0.15745,0.40903,0.001,128,28000,12000
rssm,prior,time_to_fall,0,1,0.52887,0.56323,1000.0,640,28000,12000
rssm,enc,reward_stand,0,1,0.60025,0.90215,10.0,64,28000,12000
rssm,posterior,reward_stand,0,1,0.95053,0.96496,10.0,640,28000,12000
rssm,post_deter,reward_stand,0,1,0.94946,0.97275,10.0,512,28000,12000
rssm,post_stoch,reward_stand,0,1,0.13493,0.4417,1000.0,128,28000,12000
rssm,prior,reward_stand,0,1,0.9502,0.97543,10.0,640,28000,12000
rssm,enc,reward_walk,0,1,0.38929,0.57583,10.0,64,28000,12000
rssm,posterior,reward_walk,0,1,0.64945,0.65928,1000.0,640,28000,12000
rssm,post_deter,reward_walk,0,1,0.65079,0.63913,1000.0,512,28000,12000
rssm,post_stoch,reward_walk,0,1,0.08096,0.10651,10.0,128,28000,12000
rssm,prior,reward_walk,0,1,0.65141,0.65074,1000.0,640,28000,12000
rssm,enc,reward_run,0,1,0.59946,0.88518,10.0,64,28000,12000
rssm,posterior,reward_run,0,1,0.93134,0.94732,1000.0,640,28000,12000
rssm,post_deter,reward_run,0,1,0.93314,0.95291,10.0,512,28000,12000
rssm,post_stoch,reward_run,0,1,0.13621,0.454,1000.0,128,28000,12000
rssm,prior,reward_run,0,1,0.93403,0.95468,10.0,640,28000,12000
