model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.83273,0.88466,10.0,64,28000,12000
rssm,posterior,state,0,1,0.86726,0.8634,10.0,640,28000,12000
rssm,post_deter,state,0,1,0.74958,0.73832,10.0,512,28000,12000
rssm,post_stoch,state,0,1,0.42184,0.50295,10.0,128,28000,12000
rssm,prior,state,0,1,0.8029,0.76925,1000.0,640,28000,12000
rssm,enc,state,1,1,0.44489,0.54724,10.0,64,27972,11988
rssm,posterior,state,1,1,0.62201,0.61406,10.0,640,27972,11988
rssm,post_deter,state,1,1,0.60441,0.57559,10.0,512,27972,11988
rssm,post_stoch,state,1,1,0.15241,0.21609,1000.0,128,27972,11988
rssm,prior,state,1,1,0.61481,0.59084,10.0,640,27972,11988
rssm,imag1,state,1,1,0.8029,0.77079,1000.0,640,27972,11988
rssm,enc,state,5,1,0.17913,0.20522,10.0,64,27860,11940
rssm,posterior,state,5,1,0.26632,0.08839,1000.0,640,27860,11940
rssm,post_deter,state,5,1,0.26299,0.09466,1000.0,512,27860,11940
rssm,post_stoch,state,5,1,0.03068,-0.00203,1000.0,128,27860,11940
rssm,prior,state,5,1,0.2647,0.09011,1000.0,640,27860,11940
rssm,imag5,state,5,1,0.68725,0.62151,1000.0,640,27860,11940
rssm,enc,state,20,1,0.02019,-0.07634,1000.0,64,27440,11760
rssm,posterior,state,20,1,0.0142,-0.33273,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.01661,-0.31086,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.0019,-0.07865,1000.0,128,27440,11760
rssm,prior,state,20,1,0.01513,-0.33125,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.48051,0.36775,1000.0,640,27440,11760
rssm,enc,gait_phase,0,1,0.57945,0.61385,10.0,64,28000,12000
rssm,posterior,gait_phase,0,1,0.70273,0.64177,1000.0,640,28000,12000
rssm,post_deter,gait_phase,0,1,0.70048,0.63859,1000.0,512,28000,12000
rssm,post_stoch,gait_phase,0,1,0.0747,0.14553,10.0,128,28000,12000
rssm,prior,gait_phase,0,1,0.7024,0.63232,1000.0,640,28000,12000
rssm,enc,return_to_go,0,1,0.1378,-0.46742,1000.0,64,28000,12000
rssm,posterior,return_to_go,0,1,0.11112,-0.41047,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,0.1163,-0.45875,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,0.03532,-0.39354,1000.0,128,28000,12000
rssm,prior,return_to_go,0,1,0.11502,-0.44444,1000.0,640,28000,12000
rssm,enc,time_to_fall,0,1,0.49728,0.49529,1000.0,64,27862,11945
rssm,posterior,time_to_fall,0,1,0.5274,0.49629,1000.0,640,27862,11945
rssm,post_deter,time_to_fall,0,1,0.52843,0.44196,1000.0,512,27862,11945
rssm,post_stoch,time_to_fall,0,1,0.12505,0.1281,1000.0,128,27862,11945
rssm,prior,time_to_fall,0,1,0.52892,0.44788,1000.0,640,27862,11945
rssm,enc,reward_stand,0,1,0.7853,0.94645,0.001,64,28000,12000
rssm,posterior,reward_stand,0,1,0.93542,0.97445,10.0,640,28000,12000
rssm,post_deter,reward_stand,0,1,0.93464,0.9653,10.0,512,28000,12000
rssm,post_stoch,reward_stand,0,1,0.18514,0.40968,10.0,128,28000,12000
rssm,prior,reward_stand,0,1,0.93464,0.96807,10.0,640,28000,12000
rssm,enc,reward_walk,0,1,0.51698,0.69418,1000.0,64,28000,12000
rssm,posterior,reward_walk,0,1,0.61891,0.63583,1000.0,640,28000,12000
rssm,post_deter,reward_walk,0,1,0.61864,0.62041,1000.0,512,28000,12000
rssm,post_stoch,reward_walk,0,1,0.12614,0.12556,1000.0,128,28000,12000
rssm,prior,reward_walk,0,1,0.61811,0.61928,1000.0,640,28000,12000
rssm,enc,reward_run,0,1,0.74332,0.88956,10.0,64,28000,12000
rssm,posterior,reward_run,0,1,0.86984,0.89984,1000.0,640,28000,12000
rssm,post_deter,reward_run,0,1,0.86916,0.87791,1000.0,512,28000,12000
rssm,post_stoch,reward_run,0,1,0.17859,0.35759,1000.0,128,28000,12000
rssm,prior,reward_run,0,1,0.86864,0.87637,1000.0,640,28000,12000
