model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.84723,0.85122,1000.0,64,28000,12000
rssm,posterior,state,0,1,0.86742,0.83205,1000.0,640,28000,12000
rssm,post_deter,state,0,1,0.85088,0.82006,1000.0,512,28000,12000
rssm,post_stoch,state,0,1,0.40589,0.74592,0.001,128,28000,12000
rssm,prior,state,0,1,0.86177,0.82433,1000.0,640,28000,12000
rssm,enc,state,1,1,0.54303,0.6748,10.0,64,27972,11988
rssm,posterior,state,1,1,0.68407,0.70996,1000.0,640,27972,11988
rssm,post_deter,state,1,1,0.66334,0.67353,1000.0,512,27972,11988
rssm,post_stoch,state,1,1,0.28579,0.6117,0.001,128,27972,11988
rssm,prior,state,1,1,0.67816,0.69372,1000.0,640,27972,11988
rssm,imag1,state,1,1,0.8619,0.82916,1000.0,640,27972,11988
rssm,enc,state,5,1,0.23334,0.37819,10.0,64,27860,11940
rssm,posterior,state,5,1,0.38038,0.315,1000.0,640,27860,11940
rssm,post_deter,state,5,1,0.37588,0.29859,1000.0,512,27860,11940
rssm,post_stoch,state,5,1,0.141,0.29925,10.0,128,27860,11940
rssm,prior,state,5,1,0.37919,0.32115,1000.0,640,27860,11940
rssm,imag5,state,5,1,0.85297,0.80896,1000.0,640,27860,11940
rssm,enc,state,20,1,0.07472,0.05966,1000.0,64,27440,11760
rssm,posterior,state,20,1,0.11973,-0.18764,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.12015,-0.18319,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.04667,0.03657,10.0,128,27440,11760
rssm,prior,state,20,1,0.11991,-0.18512,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.8396,0.80236,1000.0,640,27440,11760
rssm,enc,return_to_go,0,1,0.19563,0.38133,0.001,64,28000,12000
rssm,posterior,return_to_go,0,1,-0.10242,-0.53198,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,-0.09837,-0.48801,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,-0.00988,-0.20891,1000.0,128,28000,12000
rssm,prior,return_to_go,0,1,-0.10351,-0.52119,1000.0,640,28000,12000
rssm,enc,regime,0,1,0.35237,0.93416,0.001,64,28000,12000
rssm,posterior,regime,0,1,-0.10233,-0.59529,1000.0,640,28000,12000
rssm,post_deter,regime,0,1,-0.09927,-0.6958,1000.0,512,28000,12000
rssm,post_stoch,regime,0,1,-0.01437,-0.16008,1000.0,128,28000,12000
rssm,prior,regime,0,1,-0.10423,-0.67561,1000.0,640,28000,12000
rssm,enc,in_regime,0,1,0.13859,0.33147,0.001,64,28000,12000
rssm,posterior,in_regime,0,1,-0.06568,-0.58117,1000.0,640,28000,12000
rssm,post_deter,in_regime,0,1,-0.06291,-0.58166,1000.0,512,28000,12000
rssm,post_stoch,in_regime,0,1,0.01664,-0.17966,1000.0,128,28000,12000
rssm,prior,in_regime,0,1,-0.06879,-0.56544,1000.0,640,28000,12000
