mode,domain,seed,milestone,cov,occ_phys,occ_rew,fwd,geom,vsa,retdec
apt,walker,2,100000,1.272992,,0.99872,0.4089,0.81788,,0.19908
apt,walker,2,200000,1.313744,,0.99888,0.47343,0.82152,,0.16711
apt,walker,2,300000,1.337624,,0.998933,0.56836,0.86153,,0.09531
apt,walker,2,400000,1.375389,,0.99896,0.62944,0.83083,,0.14924
apt,walker,2,500000,1.409425,,0.998973,0.72921,0.88139,,0.18054
apt,walker,3,100000,1.292699,,0.99872,0.38018,0.82419,,-0.05568
apt,walker,3,200000,1.337587,,0.99888,0.44015,0.83769,,0.13627
apt,walker,3,300000,1.380312,,0.998933,0.52594,0.85762,,0.09405
apt,walker,3,400000,1.40371,,0.99896,0.60181,0.82794,,0.09785
apt,walker,3,500000,1.437864,,0.998976,0.68725,0.86726,,0.11112
apt,walker,4,100000,1.251486,,0.99872,0.37143,0.84751,,0.03927
apt,walker,4,200000,1.285687,,0.99888,0.41517,0.83103,,0.28345
apt,walker,4,300000,1.299473,,0.998933,0.54678,0.87057,,0.25536
apt,walker,4,400000,1.339935,,0.99896,0.57131,0.83196,,0.23551
apt,walker,4,500000,1.364025,,0.998971,0.59786,0.82105,,0.17274
apt,walker,5,100000,1.332557,,0.99872,0.37013,0.83369,,0.35525
apt,walker,5,200000,1.355012,,0.99888,0.45339,0.83491,,0.12662
apt,walker,5,300000,1.364048,,0.998933,0.52517,0.82665,,0.11279
apt,walker,5,400000,1.389041,,0.99896,0.58418,0.81793,,0.10599
apt,walker,5,500000,1.41512,,0.998976,0.6751,0.85394,,0.08499
p2e,cup,1,100000,0.981192,0.05184999853372574,0.09027,0.97304,0.9943,-0.058316,0.13843
p2e,cup,1,200000,0.968398,0.031369999051094055,0.104,0.9599,0.99086,-0.04201,0.11694
p2e,cup,1,300000,0.954224,0.02539999969303608,0.102053,0.96598,0.99081,-0.049708,0.25815
p2e,cup,1,400000,0.97539,0.022862499579787254,0.11567,0.97496,0.99165,-0.028512,0.02813
p2e,cup,1,500000,0.988034,0.0263862032443285,0.126715,0.99573,0.99823,-0.021287,0.4345
p2e,cup,2,100000,0.983794,0.04394000023603439,0.13041,0.95906,0.99387,-0.060393,0.14911
p2e,cup,2,200000,0.9425,0.024860000237822533,0.116865,0.96315,0.99298,-0.040474,0.06616
p2e,cup,2,300000,0.929846,0.01945333369076252,0.132567,0.96372,0.98993,-0.036486,0.08701
p2e,cup,2,400000,0.898456,0.016130000352859497,0.178108,0.97102,0.98947,-0.031789,0.26169
p2e,cup,2,500000,0.877443,0.014367283321917057,0.21509,0.97611,0.99215,-0.028786,0.09031
p2e,cup,3,100000,0.982599,0.045729998499155045,0.09492,0.943,0.99094,-0.065446,0.12381
p2e,cup,3,200000,0.996125,0.029565000906586647,0.10392,0.94971,0.992,-0.034651,0.05197
