model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.99159,0.99858,0.001,64,28000,12000
rssm,posterior,state,0,1,0.9975,0.99672,10.0,640,28000,12000
rssm,post_deter,state,0,1,0.99375,0.99357,10.0,512,28000,12000
rssm,post_stoch,state,0,1,0.906,0.98162,1.0,128,28000,12000
rssm,prior,state,0,1,0.9944,0.99377,10.0,640,28000,12000
rssm,enc,state,1,1,0.97051,0.98498,0.001,64,27972,11988
rssm,posterior,state,1,1,0.98443,0.98421,10.0,640,27972,11988
rssm,post_deter,state,1,1,0.98074,0.98153,10.0,512,27972,11988
rssm,post_stoch,state,1,1,0.88563,0.96847,1.0,128,27972,11988
rssm,prior,state,1,1,0.98163,0.98173,10.0,640,27972,11988
rssm,imag1,state,1,1,0.99441,0.99358,10.0,640,27972,11988
rssm,enc,state,5,1,0.87899,0.94264,10.0,64,27860,11940
rssm,posterior,state,5,1,0.93264,0.94118,10.0,640,27860,11940
rssm,post_deter,state,5,1,0.92829,0.93416,10.0,512,27860,11940
rssm,post_stoch,state,5,1,0.80526,0.92417,10.0,128,27860,11940
rssm,prior,state,5,1,0.93153,0.93721,10.0,640,27860,11940
rssm,imag5,state,5,1,0.99042,0.99026,10.0,640,27860,11940
rssm,enc,state,20,1,0.67931,0.77801,0.001,64,27440,11760
rssm,posterior,state,20,1,0.7464,0.76262,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.74426,0.7537,10.0,512,27440,11760
rssm,post_stoch,state,20,1,0.63055,0.76133,10.0,128,27440,11760
rssm,prior,state,20,1,0.74447,0.76477,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.97525,0.97698,10.0,640,27440,11760
rssm,enc,return_to_go,0,1,0.04421,0.20331,1000.0,64,28000,12000
rssm,posterior,return_to_go,0,1,0.15985,0.03747,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,0.15606,0.02883,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,0.04854,0.07626,1000.0,128,28000,12000
rssm,prior,return_to_go,0,1,0.15749,0.062,1000.0,640,28000,12000
rssm,enc,regime,0,1,0.951,0.99624,1.0,64,28000,12000
rssm,posterior,regime,0,1,0.9955,0.99681,10.0,640,28000,12000
rssm,post_deter,regime,0,1,0.99226,0.99298,10.0,512,28000,12000
rssm,post_stoch,regime,0,1,0.87355,0.98451,10.0,128,28000,12000
rssm,prior,regime,0,1,0.99322,0.99397,10.0,640,28000,12000
rssm,enc,in_regime,0,1,0.32087,0.83441,1.0,64,28000,12000
rssm,posterior,in_regime,0,1,0.46612,0.90456,10.0,640,28000,12000
rssm,post_deter,in_regime,0,1,0.43141,0.83162,10.0,512,28000,12000
rssm,post_stoch,in_regime,0,1,0.32357,0.71462,1.0,128,28000,12000
rssm,prior,in_regime,0,1,0.46852,0.82744,10.0,640,28000,12000
