run_id,err_diff,expl_mode,horizon,n_all,n_in_norew,n_in_regime,n_in_rew,n_out_norew,n_out_regime,n_out_rew,n_rewarded,n_unrewarded,nll_all,nll_in_norew,nll_in_regime,nll_in_rew,nll_out_norew,nll_out_regime,nll_out_rew,nll_rewarded,nll_unrewarded,rew_nll_all,rew_nll_in,rew_nll_out,reward_aware
ax1wm_finger_fs12q1s0_seed1,0.016173,apt,0,60060,6,5446,5440,54614,54614,0,5440,54620,0.36579005022328953,0.5791711893398315,0.3510833444143044,0.3508317769382836,0.36725657382228855,0.36725657382228855,,0.3508317769382836,0.36727985261564455,,,,0
ax1wm_finger_fs12q1s0_seed1,0.114611,apt,1,60000,0,5440,5440,54560,54560,0,5440,54560,0.6463575516196529,,0.5421377032023864,0.5421377032023864,0.6567489734559786,0.6567489734559786,,0.5421377032023864,0.6567489734559786,,,,0
ax1wm_finger_fs12q1s0_seed1,0.234413,apt,5,59760,0,5416,5416,54344,54344,0,5416,54344,1.153106450255675,,0.9399380439371285,0.9399380439371285,1.1743511155107396,1.1743511155107396,,0.9399380439371285,1.1743511155107396,,,,0
ax1wm_finger_fs12q1s0_seed1,0.696218,apt,20,58860,0,5340,5340,53520,53520,0,5340,53520,1.9767456538737656,,1.3436916070405793,1.3436916070405793,2.0399091181878393,2.0399091181878393,,1.3436916070405793,2.0399091181878393,,,,0
ax1wm_finger_fs12q1s0_seed2,-0.00203,apt,0,60060,6,5446,5440,54614,54614,0,5440,54620,0.4062906344930381,0.7453560998352865,0.4081361611317017,0.4077642273757786,0.40610660222889045,0.40610660222889045,,0.4077642273757786,0.4061438687427249,,,,0
ax1wm_finger_fs12q1s0_seed2,0.114081,apt,1,60000,0,5440,5440,54560,54560,0,5440,54560,0.7315097940522658,,0.6277722948429869,0.6277722948429869,0.7418531224191734,0.7418531224191734,,0.6277722948429869,0.7418531224191734,,,,0
ax1wm_finger_fs12q1s0_seed2,0.372968,apt,5,59760,0,5416,5416,54344,54344,0,5416,54344,1.3211412669862241,,0.9819751653275495,0.9819751653275495,1.3549430409922485,1.3549430409922485,,0.9819751653275495,1.3549430409922485,,,,0
ax1wm_finger_fs12q1s0_seed2,0.735491,apt,20,58860,0,5340,5340,53520,53520,0,5340,53520,2.1251555065610352,,1.4563911625630312,1.4563911625630312,2.1918819937985043,2.1918819937985043,,1.4563911625630312,2.1918819937985043,,,,0
ax1wm_finger_fs12q1s0_seed3,0.018119,apt,0,60060,6,5446,5440,54614,54614,0,5440,54620,0.3062749135335884,0.6485254701789623,0.28979852064276596,0.2894028659190128,0.30791790682621334,0.30791790682621334,,0.2894028659190128,0.3079553225233959,,,,0
ax1wm_finger_fs12q1s0_seed3,0.117314,apt,1,60000,0,5440,5440,54560,54560,0,5440,54560,0.6102598485842707,,0.5035819871267927,0.5035819871267927,0.6208963508996791,0.6208963508996791,,0.5035819871267927,0.6208963508996791,,,,0
ax1wm_finger_fs12q1s0_seed3,0.31071,apt,5,59760,0,5416,5416,54344,54344,0,5416,54344,1.1589382542680915,,0.8763874276553635,0.8763874276553635,1.1870976697865392,1.1870976697865392,,0.8763874276553635,1.1870976697865392,,,,0
ax1wm_finger_fs12q1s0_seed3,0.739518,apt,20,58860,0,5340,5340,53520,53520,0,5340,53520,1.9790849090278055,,1.3066588067269707,1.3066588067269707,2.0461767510735167,2.0461767510735167,,1.3066588067269707,2.0461767510735167,,,,0
ax1wm_finger_fs12q1s0_seed4,0.013169,apt,0,60060,6,5446,5440,54614,54614,0,5440,54620,0.38560704319818095,0.5244630007631107,0.3736319349972007,0.3734655772040766,0.38680117728948604,0.38680117728948604,,0.3734655772040766,0.3868162994231521,,,,0
ax1wm_finger_fs12q1s0_seed4,0.13457,apt,1,60000,0,5440,5440,54560,54560,0,5440,54560,0.6754228449701738,,0.5530540758759548,0.5530540758759548,0.6876238366100664,0.6876238366100664,,0.5530540758759548,0.6876238366100664,,,,0
ax1wm_finger_fs12q1s0_seed4,0.303708,apt,5,59760,0,5416,5416,54344,54344,0,5416,54344,1.226737626427269,,0.950554696352042,0.950554696352042,1.2542624083588054,1.2542624083588054,,0.950554696352042,1.2542624083588054,,,,0
ax1wm_finger_fs12q1s0_seed4,0.753126,apt,20,58860,0,5340,5340,53520,53520,0,5340,53520,2.0734453980486474,,1.3886458075789734,1.3886458075789734,2.1417718145865408,2.1417718145865408,,1.3886458075789734,2.1417718145865408,,,,0
ax1wm_finger_fs12q1s0_seed5,-0.061767,apt,0,60060,6,5446,5440,54614,54614,0,5440,54620,0.16859848639093747,1.51062974104813,0.22476478940069872,0.2233465559981464,0.16299769380678028,0.16299769380678028,,0.2233465559981464,0.16314573101445967,,,,0
ax1wm_finger_fs12q1s0_seed5,-0.001118,apt,1,60000,0,5440,5440,54560,54560,0,5440,54560,0.4169547666267438,,0.41797096709158366,0.41797096709158366,0.41685344458626117,0.41685344458626117,,0.41797096709158366,0.41685344458626117,,,,0
ax1wm_finger_fs12q1s0_seed5,0.134038,apt,5,59760,0,5416,5416,54344,54344,0,5416,54344,0.8219212801468712,,0.7000309440565128,0.7000309440565128,0.8340690436583057,0.8340690436583057,,0.7000309440565128,0.8340690436583057,,,,0
ax1wm_finger_fs12q1s0_seed5,0.614499,apt,20,58860,0,5340,5340,53520,53520,0,5340,53520,1.8822416186435411,,1.323492088805701,1.323492088805701,1.9379912914636843,1.9379912914636843,,1.323492088805701,1.9379912914636843,,,,0
ax1wm_finger_fs12q1s0_seed6,0.012602,apt,0,60060,6,5446,5440,54614,54614,0,5440,54620,0.3751441534743089,0.4245787720816831,0.36368510558917977,0.36361794345701903,0.37628682705219024,0.37628682705219024,,0.36361794345701903,0.37629213191616273,,,,0
ax1wm_finger_fs12q1s0_seed6,0.118754,apt,1,60000,0,5440,5440,54560,54560,0,5440,54560,0.6552598259499374,,0.5472730085429135,0.5472730085429135,0.6660268400022508,0.6660268400022508,,0.5472730085429135,0.6660268400022508,,,,0
