model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.84705,0.85957,0.001,64,28000,12000
rssm,posterior,state,0,1,0.85356,0.85378,1000.0,640,28000,12000
rssm,post_deter,state,0,1,0.83898,0.84401,1000.0,512,28000,12000
rssm,post_stoch,state,0,1,0.49077,0.69186,10.0,128,28000,12000
rssm,prior,state,0,1,0.8419,0.83598,1000.0,640,28000,12000
rssm,enc,state,1,1,0.1506,0.07145,1000.0,64,27972,11988
rssm,posterior,state,1,1,0.12656,-0.35611,1000.0,640,27972,11988
rssm,post_deter,state,1,1,0.12394,-0.31269,1000.0,512,27972,11988
rssm,post_stoch,state,1,1,0.0845,0.02801,10.0,128,27972,11988
rssm,prior,state,1,1,0.12345,-0.33184,1000.0,640,27972,11988
rssm,imag1,state,1,1,0.84218,0.83486,1000.0,640,27972,11988
rssm,enc,state,5,1,0.07259,-0.00819,1000.0,64,27860,11940
rssm,posterior,state,5,1,0.03969,-0.40974,1000.0,640,27860,11940
rssm,post_deter,state,5,1,0.04172,-0.39318,1000.0,512,27860,11940
rssm,post_stoch,state,5,1,0.02817,-0.04439,10.0,128,27860,11940
rssm,prior,state,5,1,0.04065,-0.4062,1000.0,640,27860,11940
rssm,imag5,state,5,1,0.83827,0.83245,1000.0,640,27860,11940
rssm,enc,state,20,1,0.06265,-0.01922,1000.0,64,27440,11760
rssm,posterior,state,20,1,0.02516,-0.45756,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.02959,-0.39748,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.01827,-0.0788,10.0,128,27440,11760
rssm,prior,state,20,1,0.0281,-0.46901,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.83881,0.83036,1000.0,640,27440,11760
rssm,enc,return_to_go,0,1,0.04795,0.13102,1000.0,64,28000,12000
rssm,posterior,return_to_go,0,1,0.08176,0.10388,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,0.04649,0.08724,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,0.04747,0.04251,1000.0,128,28000,12000
rssm,prior,return_to_go,0,1,0.07926,0.10357,1000.0,640,28000,12000
rssm,enc,regime,0,1,0.63149,0.94193,0.001,64,28000,12000
rssm,posterior,regime,0,1,0.55381,0.86214,0.001,640,28000,12000
rssm,post_deter,regime,0,1,0.27552,0.82197,0.001,512,28000,12000
rssm,post_stoch,regime,0,1,0.43298,0.67431,10.0,128,28000,12000
rssm,prior,regime,0,1,0.55027,0.85138,0.1,640,28000,12000
rssm,enc,in_regime,0,1,0.05285,0.03087,1000.0,64,28000,12000
rssm,posterior,in_regime,0,1,0.08508,0.04011,0.001,640,28000,12000
rssm,post_deter,in_regime,0,1,0.05197,0.03835,1000.0,512,28000,12000
rssm,post_stoch,in_regime,0,1,0.0421,0.0051,1.0,128,28000,12000
rssm,prior,in_regime,0,1,0.0766,0.04096,1000.0,640,28000,12000
