run_id,phase,task,expl_mode,seed,steps,ckpt_policy,logdir,status,su,notes,axis,paired_seed_set
ax1wm_finger_shq1s1_seed6,offline_fit,dmc_finger_turn_hard,static,6,500000,/workspace/dreamerv3_runs/axis1_finger/q1_sh/side1,/workspace/dreamerv3_runs/ax1wm_finger_shq1s1_seed6,DONE,,,axis1,ax1sh_finger_q1
ax1wm_finger_shq1s1_seed8,offline_fit,dmc_finger_turn_hard,static,8,500000,/workspace/dreamerv3_runs/axis1_finger/q1_sh/side1,/workspace/dreamerv3_runs/ax1wm_finger_shq1s1_seed8,DONE,,,axis1,ax1sh_finger_q1
ax1wm_finger_shq1s1_seed7,offline_fit,dmc_finger_turn_hard,static,7,500000,/workspace/dreamerv3_runs/axis1_finger/q1_sh/side1,/workspace/dreamerv3_runs/ax1wm_finger_shq1s1_seed7,DONE,,,axis1,ax1sh_finger_q1
ax1wm_finger_shq1s1_seed5,offline_fit,dmc_finger_turn_hard,static,5,500000,/workspace/dreamerv3_runs/axis1_finger/q1_sh/side1,/workspace/dreamerv3_runs/ax1wm_finger_shq1s1_seed5,DONE,,,axis1,ax1sh_finger_q1
adapt_ax1shq1s1_finger_seed6_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,6,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_shq1s1_seed6/ckpt/20260716T144229F105288-000000500000,/workspace/dreamerv3_runs/adapt_ax1shq1s1_finger_seed6_ckpt500000,DONE,,,axis1,ax1sh_finger_q1
adapt_ax1shq1s1_finger_seed8_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,8,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_shq1s1_seed8/ckpt/20260716T144442F899338-000000500000,/workspace/dreamerv3_runs/adapt_ax1shq1s1_finger_seed8_ckpt500000,DONE,,,axis1,ax1sh_finger_q1
adapt_ax1shq1s1_finger_seed7_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,7,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_shq1s1_seed7/ckpt/20260716T144636F108656-000000500000,/workspace/dreamerv3_runs/adapt_ax1shq1s1_finger_seed7_ckpt500000,DONE,,,axis1,ax1sh_finger_q1
adapt_ax1shq1s1_finger_seed5_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,5,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_shq1s1_seed5/ckpt/20260716T144735F918468-000000500000,/workspace/dreamerv3_runs/adapt_ax1shq1s1_finger_seed5_ckpt500000,DONE,,,axis1,ax1sh_finger_q1
ax1wm_finger_rlq1s1_seed2,offline_fit,dmc_finger_turn_hard,static,2,500000,/workspace/dreamerv3_runs/axis1_finger/q1_rl/side1,/workspace/dreamerv3_runs/ax1wm_finger_rlq1s1_seed2,DONE,,,axis1,ax1rl_finger_q1
ax1wm_finger_rlq1s1_seed4,offline_fit,dmc_finger_turn_hard,static,4,500000,/workspace/dreamerv3_runs/axis1_finger/q1_rl/side1,/workspace/dreamerv3_runs/ax1wm_finger_rlq1s1_seed4,DONE,,,axis1,ax1rl_finger_q1
ax1wm_finger_rlq1s1_seed3,offline_fit,dmc_finger_turn_hard,static,3,500000,/workspace/dreamerv3_runs/axis1_finger/q1_rl/side1,/workspace/dreamerv3_runs/ax1wm_finger_rlq1s1_seed3,DONE,,,axis1,ax1rl_finger_q1
ax1wm_finger_rlq1s1_seed1,offline_fit,dmc_finger_turn_hard,static,1,500000,/workspace/dreamerv3_runs/axis1_finger/q1_rl/side1,/workspace/dreamerv3_runs/ax1wm_finger_rlq1s1_seed1,DONE,,,axis1,ax1rl_finger_q1
adapt_ax1rlq1s1_finger_seed2_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,2,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_rlq1s1_seed2/ckpt/20260716T174105F568733-000000500000,/workspace/dreamerv3_runs/adapt_ax1rlq1s1_finger_seed2_ckpt500000,DONE,,,axis1,ax1rl_finger_q1
adapt_ax1rlq1s1_finger_seed4_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,4,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_rlq1s1_seed4/ckpt/20260716T174422F850306-000000500000,/workspace/dreamerv3_runs/adapt_ax1rlq1s1_finger_seed4_ckpt500000,DONE,,,axis1,ax1rl_finger_q1
adapt_ax1rlq1s1_finger_seed3_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,3,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_rlq1s1_seed3/ckpt/20260716T174712F221127-000000500000,/workspace/dreamerv3_runs/adapt_ax1rlq1s1_finger_seed3_ckpt500000,DONE,,,axis1,ax1rl_finger_q1
