run_id,phase,task,expl_mode,seed,steps,ckpt_policy,logdir,status,su,notes,axis,paired_seed_set
ax1wm_finger_q2s0_seed10,offline_fit,dmc_finger_turn_hard,static,10,500000,/workspace/dreamerv3_runs/axis1_finger/q2/side0,/workspace/dreamerv3_runs/ax1wm_finger_q2s0_seed10,DONE,,,axis1,ax1_finger_q2
ax1wm_finger_q2s0_seed9,offline_fit,dmc_finger_turn_hard,static,9,500000,/workspace/dreamerv3_runs/axis1_finger/q2/side0,/workspace/dreamerv3_runs/ax1wm_finger_q2s0_seed9,DONE,,,axis1,ax1_finger_q2
adapt_ax1q2s0_finger_seed11_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,11,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_q2s0_seed11/ckpt/20260711T231034F705571-000000500000,/workspace/dreamerv3_runs/adapt_ax1q2s0_finger_seed11_ckpt500000,DONE,,,axis1,ax1_finger_q2
adapt_ax1q2s0_finger_seed12_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,12,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_q2s0_seed12/ckpt/20260711T231707F794046-000000500000,/workspace/dreamerv3_runs/adapt_ax1q2s0_finger_seed12_ckpt500000,DONE,,,axis1,ax1_finger_q2
adapt_ax1q2s0_finger_seed10_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,10,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_q2s0_seed10/ckpt/20260711T233511F613807-000000500000,/workspace/dreamerv3_runs/adapt_ax1q2s0_finger_seed10_ckpt500000,DONE,,,axis1,ax1_finger_q2
adapt_ax1q2s0_finger_seed9_ckpt500000,adapt,dmc_finger_turn_hard,frozen_readout,9,1.25e5,/workspace/dreamerv3_runs/ax1wm_finger_q2s0_seed9/ckpt/20260711T235731F822561-000000500000,/workspace/dreamerv3_runs/adapt_ax1q2s0_finger_seed9_ckpt500000,DONE,,,axis1,ax1_finger_q2
ax1wm_cup_fq1s0_seed1,offline_fit,dmc_cup_catch,static,1,500000,/workspace/dreamerv3_runs/axis1_cup/q1/side0,/workspace/dreamerv3_runs/ax1wm_cup_fq1s0_seed1,DONE,,,axis1,ax1f_cup_q1
ax1wm_cup_fq1s0_seed4,offline_fit,dmc_cup_catch,static,4,500000,/workspace/dreamerv3_runs/axis1_cup/q1/side0,/workspace/dreamerv3_runs/ax1wm_cup_fq1s0_seed4,DONE,,,axis1,ax1f_cup_q1
ax1wm_cup_fq1s0_seed2,offline_fit,dmc_cup_catch,static,2,500000,/workspace/dreamerv3_runs/axis1_cup/q1/side0,/workspace/dreamerv3_runs/ax1wm_cup_fq1s0_seed2,DONE,,,axis1,ax1f_cup_q1
ax1wm_cup_fq1s0_seed3,offline_fit,dmc_cup_catch,static,3,500000,/workspace/dreamerv3_runs/axis1_cup/q1/side0,/workspace/dreamerv3_runs/ax1wm_cup_fq1s0_seed3,DONE,,,axis1,ax1f_cup_q1
adapt_ax1fq1s0_cup_seed3_ckpt500000,adapt,dmc_cup_catch,frozen_readout,3,1.25e5,/workspace/dreamerv3_runs/ax1wm_cup_fq1s0_seed3/ckpt/20260712T055603F456049-000000500000,/workspace/dreamerv3_runs/adapt_ax1fq1s0_cup_seed3_ckpt500000,DONE,,,axis1,ax1f_cup_q1
adapt_ax1fq1s0_cup_seed4_ckpt500000,adapt,dmc_cup_catch,frozen_readout,4,1.25e5,/workspace/dreamerv3_runs/ax1wm_cup_fq1s0_seed4/ckpt/20260712T055645F353421-000000500000,/workspace/dreamerv3_runs/adapt_ax1fq1s0_cup_seed4_ckpt500000,DONE,,,axis1,ax1f_cup_q1
adapt_ax1fq1s0_cup_seed2_ckpt500000,adapt,dmc_cup_catch,frozen_readout,2,1.25e5,/workspace/dreamerv3_runs/ax1wm_cup_fq1s0_seed2/ckpt/20260712T055805F990864-000000500000,/workspace/dreamerv3_runs/adapt_ax1fq1s0_cup_seed2_ckpt500000,DONE,,,axis1,ax1f_cup_q1
adapt_ax1fq1s0_cup_seed1_ckpt500000,adapt,dmc_cup_catch,frozen_readout,1,1.25e5,/workspace/dreamerv3_runs/ax1wm_cup_fq1s0_seed1/ckpt/20260712T060227F334278-000000500000,/workspace/dreamerv3_runs/adapt_ax1fq1s0_cup_seed1_ckpt500000,DONE,,,axis1,ax1f_cup_q1
ax1wm_cup_fq1s1_seed3,offline_fit,dmc_cup_catch,static,3,500000,/workspace/dreamerv3_runs/axis1_cup/q1/side1,/workspace/dreamerv3_runs/ax1wm_cup_fq1s1_seed3,DONE,,,axis1,ax1f_cup_q1
ax1wm_cup_fq1s1_seed4,offline_fit,dmc_cup_catch,static,4,500000,/workspace/dreamerv3_runs/axis1_cup/q1/side1,/workspace/dreamerv3_runs/ax1wm_cup_fq1s1_seed4,DONE,,,axis1,ax1f_cup_q1
ax1wm_cup_fq1s1_seed2,offline_fit,dmc_cup_catch,static,2,500000,/workspace/dreamerv3_runs/axis1_cup/q1/side1,/workspace/dreamerv3_runs/ax1wm_cup_fq1s1_seed2,DONE,,,axis1,ax1f_cup_q1
ax1wm_cup_fq1s1_seed1,offline_fit,dmc_cup_catch,static,1,500000,/workspace/dreamerv3_runs/axis1_cup/q1/side1,/workspace/dreamerv3_runs/ax1wm_cup_fq1s1_seed1,DONE,,,axis1,ax1f_cup_q1
adapt_ax1fq1s1_cup_seed3_ckpt500000,adapt,dmc_cup_catch,frozen_readout,3,1.25e5,/workspace/dreamerv3_runs/ax1wm_cup_fq1s1_seed3/ckpt/20260712T110209F940152-000000500000,/workspace/dreamerv3_runs/adapt_ax1fq1s1_cup_seed3_ckpt500000,DONE,,,axis1,ax1f_cup_q1
adapt_ax1fq1s1_cup_seed4_ckpt500000,adapt,dmc_cup_catch,frozen_readout,4,1.25e5,/workspace/dreamerv3_runs/ax1wm_cup_fq1s1_seed4/ckpt/20260712T110355F658823-000000500000,/workspace/dreamerv3_runs/adapt_ax1fq1s1_cup_seed4_ckpt500000,DONE,,,axis1,ax1f_cup_q1
adapt_ax1fq1s1_cup_seed2_ckpt500000,adapt,dmc_cup_catch,frozen_readout,2,1.25e5,/workspace/dreamerv3_runs/ax1wm_cup_fq1s1_seed2/ckpt/20260712T110645F127195-000000500000,/workspace/dreamerv3_runs/adapt_ax1fq1s1_cup_seed2_ckpt500000,DONE,,,axis1,ax1f_cup_q1
adapt_ax1fq1s1_cup_seed1_ckpt500000,adapt,dmc_cup_catch,frozen_readout,1,1.25e5,/workspace/dreamerv3_runs/ax1wm_cup_fq1s1_seed1/ckpt/20260712T111559F921654-000000500000,/workspace/dreamerv3_runs/adapt_ax1fq1s1_cup_seed1_ckpt500000,DONE,,,axis1,ax1f_cup_q1
ax1wm_cup_fq2s0_seed3,offline_fit,dmc_cup_catch,static,3,500000,/workspace/dreamerv3_runs/axis1_cup/q2/side0,/workspace/dreamerv3_runs/ax1wm_cup_fq2s0_seed3,DONE,,,axis1,ax1f_cup_q2
ax1wm_cup_fq2s0_seed4,offline_fit,dmc_cup_catch,static,4,500000,/workspace/dreamerv3_runs/axis1_cup/q2/side0,/workspace/dreamerv3_runs/ax1wm_cup_fq2s0_seed4,DONE,,,axis1,ax1f_cup_q2
ax1wm_cup_fq2s0_seed2,offline_fit,dmc_cup_catch,static,2,500000,/workspace/dreamerv3_runs/axis1_cup/q2/side0,/workspace/dreamerv3_runs/ax1wm_cup_fq2s0_seed2,DONE,,,axis1,ax1f_cup_q2
ax1wm_cup_fq2s0_seed1,offline_fit,dmc_cup_catch,static,1,500000,/workspace/dreamerv3_runs/axis1_cup/q2/side0,/workspace/dreamerv3_runs/ax1wm_cup_fq2s0_seed1,DONE,,,axis1,ax1f_cup_q2
adapt_ax1fq2s0_cup_seed3_ckpt500000,adapt,dmc_cup_catch,frozen_readout,3,1.25e5,/workspace/dreamerv3_runs/ax1wm_cup_fq2s0_seed3/ckpt/20260712T160758F386714-000000500000,/workspace/dreamerv3_runs/adapt_ax1fq2s0_cup_seed3_ckpt500000,DONE,,,axis1,ax1f_cup_q2
adapt_ax1fq2s0_cup_seed4_ckpt500000,adapt,dmc_cup_catch,frozen_readout,4,1.25e5,/workspace/dreamerv3_runs/ax1wm_cup_fq2s0_seed4/ckpt/20260712T161022F205477-000000500000,/workspace/dreamerv3_runs/adapt_ax1fq2s0_cup_seed4_ckpt500000,DONE,,,axis1,ax1f_cup_q2
adapt_ax1fq2s0_cup_seed2_ckpt500000,adapt,dmc_cup_catch,frozen_readout,2,1.25e5,/workspace/dreamerv3_runs/ax1wm_cup_fq2s0_seed2/ckpt/20260712T161504F812127-000000500000,/workspace/dreamerv3_runs/adapt_ax1fq2s0_cup_seed2_ckpt500000,DONE,,,axis1,ax1f_cup_q2
adapt_ax1fq2s0_cup_seed1_ckpt500000,adapt,dmc_cup_catch,frozen_readout,1,1.25e5,/workspace/dreamerv3_runs/ax1wm_cup_fq2s0_seed1/ckpt/20260712T162925F224492-000000500000,/workspace/dreamerv3_runs/adapt_ax1fq2s0_cup_seed1_ckpt500000,DONE,,,axis1,ax1f_cup_q2
ax1wm_cup_fq2s1_seed3,offline_fit,dmc_cup_catch,static,3,500000,/workspace/dreamerv3_runs/axis1_cup/q2/side1,/workspace/dreamerv3_runs/ax1wm_cup_fq2s1_seed3,DONE,,,axis1,ax1f_cup_q2
