model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.99408,0.99868,1.0,64,28000,12000
rssm,posterior,state,0,1,0.99598,0.99486,10.0,640,28000,12000
rssm,post_deter,state,0,1,0.99138,0.99249,10.0,512,28000,12000
rssm,post_stoch,state,0,1,0.80272,0.93477,0.1,128,28000,12000
rssm,prior,state,0,1,0.99314,0.99213,10.0,640,28000,12000
rssm,enc,state,1,1,0.8886,0.94346,10.0,64,27972,11988
rssm,posterior,state,1,1,0.93955,0.94701,10.0,640,27972,11988
rssm,post_deter,state,1,1,0.936,0.94425,10.0,512,27972,11988
rssm,post_stoch,state,1,1,0.72885,0.88399,0.001,128,27972,11988
rssm,prior,state,1,1,0.93875,0.94409,10.0,640,27972,11988
rssm,imag1,state,1,1,0.99315,0.99201,10.0,640,27972,11988
rssm,enc,state,5,1,0.72259,0.8123,10.0,64,27860,11940
rssm,posterior,state,5,1,0.79837,0.81088,1000.0,640,27860,11940
rssm,post_deter,state,5,1,0.79323,0.80104,1000.0,512,27860,11940
rssm,post_stoch,state,5,1,0.57061,0.75377,10.0,128,27860,11940
rssm,prior,state,5,1,0.7993,0.8061,10.0,640,27860,11940
rssm,imag5,state,5,1,0.98573,0.98499,10.0,640,27860,11940
rssm,enc,state,20,1,0.4785,0.5113,1.0,64,27440,11760
rssm,posterior,state,20,1,0.51769,0.46298,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.51478,0.45223,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.39708,0.48615,10.0,128,27440,11760
rssm,prior,state,20,1,0.51639,0.46155,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.96446,0.96701,10.0,640,27440,11760
rssm,enc,return_to_go,0,1,0.04476,0.03404,10.0,64,28000,12000
rssm,posterior,return_to_go,0,1,0.06788,-0.25728,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,0.06838,-0.2548,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,0.05641,0.01214,1000.0,128,28000,12000
rssm,prior,return_to_go,0,1,0.06823,-0.26499,1000.0,640,28000,12000
rssm,enc,regime,0,1,0.93983,0.99609,0.001,64,28000,12000
rssm,posterior,regime,0,1,0.98794,0.99428,10.0,640,28000,12000
rssm,post_deter,regime,0,1,0.97873,0.98211,10.0,512,28000,12000
rssm,post_stoch,regime,0,1,0.85556,0.95758,1.0,128,28000,12000
rssm,prior,regime,0,1,0.9813,0.9832,10.0,640,28000,12000
rssm,enc,in_regime,0,1,0.08219,0.61901,0.001,64,28000,12000
rssm,posterior,in_regime,0,1,0.19103,0.44531,10.0,640,28000,12000
rssm,post_deter,in_regime,0,1,0.2048,0.5699,1000.0,512,28000,12000
rssm,post_stoch,in_regime,0,1,0.18542,0.45813,0.001,128,28000,12000
rssm,prior,in_regime,0,1,0.22047,0.46675,0.001,640,28000,12000
