model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.98794,0.99742,1.0,64,28000,12000
rssm,posterior,state,0,1,0.99441,0.99326,10.0,640,28000,12000
rssm,post_deter,state,0,1,0.99484,0.99335,10.0,512,28000,12000
rssm,post_stoch,state,0,1,0.71895,0.88564,10.0,128,28000,12000
rssm,prior,state,0,1,0.99548,0.99275,10.0,640,28000,12000
rssm,enc,state,1,1,0.50373,0.51102,10.0,64,27972,11988
rssm,posterior,state,1,1,0.53197,0.40001,1000.0,640,27972,11988
rssm,post_deter,state,1,1,0.53232,0.42704,1000.0,512,27972,11988
rssm,post_stoch,state,1,1,0.41917,0.43918,10.0,128,27972,11988
rssm,prior,state,1,1,0.533,0.42276,1000.0,640,27972,11988
rssm,imag1,state,1,1,0.99551,0.99282,10.0,640,27972,11988
rssm,enc,state,5,1,0.34054,0.35166,10.0,64,27860,11940
rssm,posterior,state,5,1,0.37825,0.21244,1000.0,640,27860,11940
rssm,post_deter,state,5,1,0.37863,0.21755,1000.0,512,27860,11940
rssm,post_stoch,state,5,1,0.26623,0.25855,10.0,128,27860,11940
rssm,prior,state,5,1,0.37931,0.23513,1000.0,640,27860,11940
rssm,imag5,state,5,1,0.99462,0.99174,10.0,640,27860,11940
rssm,enc,state,20,1,0.23648,0.2104,10.0,64,27440,11760
rssm,posterior,state,20,1,0.23755,0.02739,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.23847,0.02736,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.14524,0.10877,10.0,128,27440,11760
rssm,prior,state,20,1,0.23863,0.05818,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.99223,0.98934,10.0,640,27440,11760
rssm,enc,return_to_go,0,1,0.21467,0.93716,0.001,64,28000,12000
rssm,posterior,return_to_go,0,1,0.94814,0.96424,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,0.95161,0.95445,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,-0.1213,0.87654,10.0,128,28000,12000
rssm,prior,return_to_go,0,1,0.95428,0.98063,1000.0,640,28000,12000
rssm,enc,regime,0,1,0.8297,0.99024,0.001,64,28000,12000
rssm,posterior,regime,0,1,0.97125,0.99298,1.0,640,28000,12000
rssm,post_deter,regime,0,1,0.96941,0.98824,10.0,512,28000,12000
rssm,post_stoch,regime,0,1,0.47662,0.88857,10.0,128,28000,12000
rssm,prior,regime,0,1,0.97116,0.98942,10.0,640,28000,12000
rssm,enc,in_regime,0,1,0.26246,0.84965,0.001,64,28000,12000
rssm,posterior,in_regime,0,1,0.50001,0.92546,10.0,640,28000,12000
rssm,post_deter,in_regime,0,1,0.49724,0.92328,10.0,512,28000,12000
rssm,post_stoch,in_regime,0,1,0.17488,0.51437,1.0,128,28000,12000
rssm,prior,in_regime,0,1,0.5091,0.9204,1.0,640,28000,12000
