seed,iters,converged,delta_profit,delta_price,fingerprint,punish_depth,recovered,coverage,coverage_late,punish_occupancy,undercut_rate,punish_occ_dist,ref_min_idx,punish_label_jaccard
200,1873125,True,0.8950847214005064,0.7142857142857131,True,0.3099428571428571,True,1.0,0.26666666666666666,0.507411945278612,0.2182160827494161,0.44519346012679345,9,0.865578137693304
201,2000000,False,0.6813367877152939,0.5317142857142864,False,0.28669714285714254,False,1.0,0.9955555555555555,0.9724805,0.472331,0.2878215,4,0.29294232909808104
202,1789165,True,0.7068412986370184,0.5000000000000004,True,0.23245714285714292,True,1.0,0.4711111111111111,0.6206179977810878,0.2738880986381916,0.49166119390889046,7,0.7501108081962887
203,1947979,True,0.6710817906623738,0.47857142857142954,False,0.24020571428571436,False,1.0,0.3022222222222222,0.4848897241705378,0.20691496160892905,0.3428568788472566,6,0.6995162106328261
204,1577022,True,0.7766921748386817,0.5857142857142859,True,0.30994285714285685,True,1.0,0.26222222222222225,0.5752075747833575,0.24361993681762206,0.47190654283833705,7,0.7998569986724419
205,1645827,True,0.7670100691767425,0.6500000000000002,True,0.28669714285714254,True,1.0,0.6044444444444445,0.9583826246622519,0.4327429310614056,0.4530779966545694,5,0.46592186949810754
206,2000000,False,0.8904243151279624,0.8428571428571429,False,0.3641828571428569,False,1.0,0.9155555555555556,0.71449,0.3166575,0.4512625,8,0.619772225012731
207,1904963,True,0.6817692471646936,0.5000000000000004,False,0.1627200000000002,False,1.0,0.4488888888888889,0.8622834144285217,0.4018188279772363,0.3887445582932582,5,0.44794731118118464
208,1970284,True,0.7426678893781536,0.6071428571428573,False,0.16271999999999975,False,1.0,0.5288888888888889,0.9508360216090675,0.4299298984308861,0.3752946275765321,5,0.38966442488983916
209,2000000,False,0.6347775180590237,0.6285714285714282,True,0.27120000000000033,True,1.0,0.8044444444444444,0.990002,0.4804475,0.179778,2,0.18115571064926303
210,1746783,True,0.70711909610572,0.5428571428571424,False,0.21695999999999982,False,1.0,0.5111111111111111,0.6680102794680278,0.3027639952987864,0.4314439744375804,6,0.6393384970218026
211,2000000,False,0.7766059323534306,0.6071428571428583,False,0.34868571428571404,False,1.0,0.8355555555555556,0.8875645,0.4173805,0.559649,6,0.5490437644666248
212,1890177,True,0.607595767827333,0.41428571428571564,True,0.07748571428571438,True,1.0,0.21333333333333335,0.5042892808451273,0.21873877419945328,0.3755441950674461,6,0.7368955350456772
213,1680915,True,0.9491406763085956,0.8642857142857128,False,0.418422857142857,False,1.0,0.5111111111111111,0.9882671045234293,0.4594479792256003,0.5501503645336022,9,0.5398896450204489
214,2000000,False,0.6538476705410136,0.4571428571428581,True,0.23245714285714292,True,1.0,0.36444444444444446,0.638673,0.269303,0.474462,6,0.7324680862985087
215,1613401,True,0.7068412986370184,0.5000000000000004,True,0.2712000000000001,True,1.0,0.35555555555555557,0.6267524316645396,0.2669454153059283,0.5152618598848023,7,0.8061139369178002
216,1739533,True,0.895084721400506,0.7142857142857131,True,0.34868571428571404,True,1.0,0.4266666666666667,0.6690904972771428,0.2966922731560712,0.6175835698431705,9,0.900137615340927
217,2000000,False,0.7939943269860141,0.5857142857142873,True,0.11622857142857157,True,1.0,0.27555555555555555,0.6682725,0.2882745,0.5550235,8,0.8113779725767761
218,2000000,False,0.9802829199033936,0.8857142857142848,True,0.38742857142857146,True,1.0,0.5333333333333333,0.79916,0.3715655,0.724974,11,0.895797520753675
219,1826935,True,0.9934279413837812,0.9285714285714272,True,0.34868571428571427,True,1.0,0.32,0.5782800154356887,0.2509875830284055,0.5643430116561344,12,0.9493240624792811
