seed,iters,converged,exact_replay,dp_online,fp_online,dp_replay,fp_replay,dropped_frac,dp_nopunish,fp_nopunish,punish_depth_nopunish,dp_randdrop,fp_randdrop
0,1780332,True,True,0.7939943269860141,True,0.7939943269860141,True,0.6445943790259345,0.27097732257761487,False,0.17821714285714285,0.5244628484990898,False
1,1909011,True,True,0.8284095520538574,False,0.8284095520538574,False,0.47457453100060715,0.8284095520538574,False,0.2711999999999999,0.8284095520538574,False
2,1953073,True,True,0.8284095520538574,True,0.8284095520538574,True,0.598741060882005,0.18533239705984741,False,0.13172571428571445,0.18823624731956493,False
3,1895651,True,True,0.9461408266197031,True,0.9461408266197031,True,0.5264782388741388,0.9461408266197031,False,0.38742857142857123,0.9461408266197031,True
4,2000000,False,True,0.7475167886897001,True,0.7475167886897001,True,0.700865,0.7475167886897001,True,0.3099428571428573,0.52915009911221,True
5,1622050,True,True,0.867614195970294,True,0.867614195970294,True,0.6189451619863753,0.867614195970294,False,0.34868571428571404,0.867614195970294,True
6,1511521,True,True,0.8752956508456492,False,0.8752956508456492,False,0.9614672902328185,0.8752956508456492,False,0.43391999999999986,0.8752956508456492,False
7,1941777,True,True,0.8284095520538574,True,0.8284095520538574,True,0.5470478844893105,0.18040663659921918,True,0.06973714285714294,0.30245013845989444,False
8,2000000,False,True,0.8204172984081725,True,0.8204172984081725,True,0.887247,0.31907204566014263,False,0.22470857142857104,0.8204172984081725,True
9,1993663,True,True,0.9034583848008858,True,0.9034583848008858,True,0.671220762987526,0.9034583848008858,False,0.4029257142857141,0.9034583848008858,True
10,1918764,True,True,0.7782984346416105,False,0.7782984346416105,False,0.9520858219145242,0.22300550303320346,False,0.24020571428571436,0.7782984346416105,False
11,2000000,False,True,0.8673023661085464,False,0.8673023661085464,False,0.97851,0.37414912222802854,False,0.1859657142857143,0.09446958852604194,False
12,2000000,False,True,0.8284095520538574,True,0.8284095520538574,True,0.552945,0.8284095520538574,False,0.34868571428571404,0.703888907376754,False
13,1941619,True,True,0.7475167886897001,True,0.7475167886897001,True,0.6489043422010189,0.13404821229648808,False,0.11622857142857157,0.36551727635139597,False
14,1968112,True,True,0.916754768010103,True,0.916754768010103,True,0.9763854902566521,0.9686135820970799,False,0.4261714285714284,0.916754768010103,True
15,1585801,True,True,0.9461408266197031,True,0.9461408266197031,True,0.6707386361844897,0.9461408266197031,False,0.4261714285714284,0.9461408266197031,True
16,1567669,True,True,0.6886192658390157,False,0.6886192658390157,False,0.9275274308543449,0.2647520927830105,True,0.12397714285714279,0.29765210949872706,False
17,1638639,True,True,0.7939943269860141,True,0.7939943269860141,True,0.6276983521080604,0.0893245449345591,True,0.09298285714285726,0.7939943269860141,True
18,1752599,True,True,0.8070796802553728,False,0.8070796802553728,False,0.8194224691443964,0.11769160091154808,False,0.13947428571428588,0.42106415795646157,False
19,2000000,False,True,0.6883159107837347,True,0.6883159107837347,True,0.6603475,0.09780645659010363,False,0.054239999999999844,0.19798426709242922,False
