condition,seed,auc_stand,auc_walk,auc_run,state_h0,state_h5,state_h20,gait_phase,time_to_fall,reward_stand,reward_walk,reward_run,particle_entropy,hist_entropy_2d
c1,1,378.80547366444557,120.86266252303272,54.41150315998555,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
c1,2,263.28949618658254,239.2364201039105,49.11222531477925,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
random,1,361.28261059111276,181.03202004677027,76.52216964121625,0.95304,0.14497,-0.00255,0.5518,0.57824,0.91889,0.61071,0.90315,1.0989255905151367,4.866304531078505
random,2,262.7740548681483,169.6904833715588,49.99880262144042,0.95259,0.14789,-0.00278,0.56069,0.53049,0.91368,0.6201,0.89276,1.101792812347412,4.897949812171218
p2e,1,714.7301632773293,341.5634956507425,144.1640708233068,0.94222,0.14572,0.00176,0.54844,0.65797,0.93703,0.67592,0.92028,1.4325683116912842,5.624081290938677
p2e,2,637.0878944919482,419.47799962327827,137.18091011166874,0.94061,0.14468,0.00144,0.54389,0.5966,0.91781,0.6264,0.90142,1.3404005765914917,5.510025908459096
apt,1,775.8353573015187,264.19501792047527,185.94991217096202,0.94364,0.14734,0.00034,0.55693,0.63209,0.93711,0.62721,0.91281,1.2274326086044312,5.230453464618196
apt,2,703.5171704582582,381.4283723880127,148.69025485150905,0.9446,0.14688,0.00104,0.55576,0.66265,0.93839,0.65556,0.91937,1.2963978052139282,5.359425725906829
