model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.98234,0.99815,1.0,64,28000,12000
rssm,posterior,state,0,1,0.98992,0.99199,10.0,640,28000,12000
rssm,post_deter,state,0,1,0.98259,0.98822,10.0,512,28000,12000
rssm,post_stoch,state,0,1,0.56272,0.85552,1.0,128,28000,12000
rssm,prior,state,0,1,0.98547,0.98681,10.0,640,28000,12000
rssm,enc,state,1,1,0.77462,0.89539,0.001,64,27972,11988
rssm,posterior,state,1,1,0.88281,0.91136,10.0,640,27972,11988
rssm,post_deter,state,1,1,0.87396,0.90753,10.0,512,27972,11988
rssm,post_stoch,state,1,1,0.4876,0.76632,1.0,128,27972,11988
rssm,prior,state,1,1,0.88073,0.90481,10.0,640,27972,11988
rssm,imag1,state,1,1,0.98552,0.98749,10.0,640,27972,11988
rssm,enc,state,5,1,0.44303,0.64202,10.0,64,27860,11940
rssm,posterior,state,5,1,0.59925,0.61825,10.0,640,27860,11940
rssm,post_deter,state,5,1,0.58542,0.60303,1000.0,512,27860,11940
rssm,post_stoch,state,5,1,0.30638,0.54095,10.0,128,27860,11940
rssm,prior,state,5,1,0.59596,0.61012,10.0,640,27860,11940
rssm,imag5,state,5,1,0.96768,0.97044,10.0,640,27860,11940
rssm,enc,state,20,1,0.14275,0.21847,10.0,64,27440,11760
rssm,posterior,state,20,1,0.20678,0.07037,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.2024,0.06107,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.10613,0.17143,10.0,128,27440,11760
rssm,prior,state,20,1,0.20553,0.07424,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.89571,0.91232,10.0,640,27440,11760
rssm,enc,return_to_go,0,1,0.12824,0.11325,1000.0,64,28000,12000
rssm,posterior,return_to_go,0,1,0.18718,-0.22003,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,0.18123,-0.13668,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,0.15698,0.04598,10.0,128,28000,12000
rssm,prior,return_to_go,0,1,0.18078,-0.19031,1000.0,640,28000,12000
rssm,enc,regime,0,1,0.96346,0.99778,10.0,64,28000,12000
rssm,posterior,regime,0,1,0.99157,0.99526,10.0,640,28000,12000
rssm,post_deter,regime,0,1,0.98767,0.99275,1000.0,512,28000,12000
rssm,post_stoch,regime,0,1,0.84574,0.98361,10.0,128,28000,12000
rssm,prior,regime,0,1,0.98839,0.99255,1000.0,640,28000,12000
rssm,enc,in_regime,0,1,0.26731,0.8831,10.0,64,28000,12000
rssm,posterior,in_regime,0,1,0.38021,0.85027,10.0,640,28000,12000
rssm,post_deter,in_regime,0,1,0.35277,0.80344,10.0,512,28000,12000
rssm,post_stoch,in_regime,0,1,0.18211,0.78566,10.0,128,28000,12000
rssm,prior,in_regime,0,1,0.3749,0.7506,10.0,640,28000,12000
