model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.83657,0.75689,1000.0,64,28000,12000
rssm,posterior,state,0,1,0.86495,0.80058,1000.0,640,28000,12000
rssm,post_deter,state,0,1,0.85125,0.79938,1000.0,512,28000,12000
rssm,post_stoch,state,0,1,0.46597,0.7626,0.001,128,28000,12000
rssm,prior,state,0,1,0.8595,0.78976,1000.0,640,28000,12000
rssm,enc,state,1,1,0.56111,0.63597,10.0,64,27972,11988
rssm,posterior,state,1,1,0.71791,0.69997,1000.0,640,27972,11988
rssm,post_deter,state,1,1,0.70366,0.6939,1000.0,512,27972,11988
rssm,post_stoch,state,1,1,0.34246,0.64816,10.0,128,27972,11988
rssm,prior,state,1,1,0.71429,0.69575,1000.0,640,27972,11988
rssm,imag1,state,1,1,0.85963,0.80275,1000.0,640,27972,11988
rssm,enc,state,5,1,0.27956,0.36774,10.0,64,27860,11940
rssm,posterior,state,5,1,0.46415,0.40056,1000.0,640,27860,11940
rssm,post_deter,state,5,1,0.4578,0.38883,1000.0,512,27860,11940
rssm,post_stoch,state,5,1,0.15107,0.39999,0.1,128,27860,11940
rssm,prior,state,5,1,0.46403,0.41096,1000.0,640,27860,11940
rssm,imag5,state,5,1,0.85483,0.79587,1000.0,640,27860,11940
rssm,enc,state,20,1,0.10393,0.02304,1000.0,64,27440,11760
rssm,posterior,state,20,1,0.16035,-0.17107,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.15953,-0.14827,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.06579,0.07568,0.001,128,27440,11760
rssm,prior,state,20,1,0.16044,-0.16676,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.84639,0.79087,1000.0,640,27440,11760
rssm,enc,return_to_go,0,1,0.0944,0.3506,1000.0,64,28000,12000
rssm,posterior,return_to_go,0,1,-0.0221,-0.51985,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,-0.02024,-0.58031,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,0.01667,-0.14353,1000.0,128,28000,12000
rssm,prior,return_to_go,0,1,-0.02176,-0.48942,1000.0,640,28000,12000
rssm,enc,regime,0,1,0.3825,0.94286,10.0,64,28000,12000
rssm,posterior,regime,0,1,-0.05245,-0.49958,1000.0,640,28000,12000
rssm,post_deter,regime,0,1,-0.05009,-0.51778,1000.0,512,28000,12000
rssm,post_stoch,regime,0,1,-0.00586,-0.13106,1000.0,128,28000,12000
rssm,prior,regime,0,1,-0.05097,-0.5952,1000.0,640,28000,12000
rssm,enc,in_regime,0,1,0.07687,0.33283,1000.0,64,28000,12000
rssm,posterior,in_regime,0,1,-0.01873,-0.45681,1000.0,640,28000,12000
rssm,post_deter,in_regime,0,1,-0.01757,-0.48196,1000.0,512,28000,12000
rssm,post_stoch,in_regime,0,1,0.00677,-0.18829,1000.0,128,28000,12000
rssm,prior,in_regime,0,1,-0.01705,-0.41971,1000.0,640,28000,12000
