model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.83553,0.88519,10.0,64,28000,12000
rssm,posterior,state,0,1,0.85906,0.86012,10.0,640,28000,12000
rssm,post_deter,state,0,1,0.70697,0.68448,10.0,512,28000,12000
rssm,post_stoch,state,0,1,0.48801,0.56713,10.0,128,28000,12000
rssm,prior,state,0,1,0.76353,0.72094,10.0,640,28000,12000
rssm,enc,state,1,1,0.39972,0.46813,10.0,64,27972,11988
rssm,posterior,state,1,1,0.53038,0.50268,1000.0,640,27972,11988
rssm,post_deter,state,1,1,0.51043,0.47179,10.0,512,27972,11988
rssm,post_stoch,state,1,1,0.18396,0.22464,10.0,128,27972,11988
rssm,prior,state,1,1,0.52174,0.47924,1000.0,640,27972,11988
rssm,imag1,state,1,1,0.76363,0.71998,10.0,640,27972,11988
rssm,enc,state,5,1,0.12004,0.12502,10.0,64,27860,11940
rssm,posterior,state,5,1,0.19911,-0.03099,1000.0,640,27860,11940
rssm,post_deter,state,5,1,0.1972,-0.01026,1000.0,512,27860,11940
rssm,post_stoch,state,5,1,0.02551,-0.01308,1000.0,128,27860,11940
rssm,prior,state,5,1,0.19786,-0.03628,1000.0,640,27860,11940
rssm,imag5,state,5,1,0.64313,0.56011,1000.0,640,27860,11940
rssm,enc,state,20,1,0.02286,-0.08663,1000.0,64,27440,11760
rssm,posterior,state,20,1,0.01631,-0.35212,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.01976,-0.32887,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.00165,-0.08565,1000.0,128,27440,11760
rssm,prior,state,20,1,0.01626,-0.34314,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.46471,0.3417,1000.0,640,27440,11760
rssm,enc,gait_phase,0,1,0.5468,0.57589,0.001,64,28000,12000
rssm,posterior,gait_phase,0,1,0.66461,0.55926,1000.0,640,28000,12000
rssm,post_deter,gait_phase,0,1,0.66046,0.55224,1000.0,512,28000,12000
rssm,post_stoch,gait_phase,0,1,0.11145,0.19063,10.0,128,28000,12000
rssm,prior,gait_phase,0,1,0.66117,0.54141,1000.0,640,28000,12000
rssm,enc,return_to_go,0,1,0.13278,0.07435,1000.0,64,28000,12000
rssm,posterior,return_to_go,0,1,0.13478,0.02586,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,0.13484,0.00295,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,0.04309,-0.03559,1000.0,128,28000,12000
rssm,prior,return_to_go,0,1,0.13508,0.02114,1000.0,640,28000,12000
rssm,enc,time_to_fall,0,1,0.5092,0.40849,1000.0,64,27862,12000
rssm,posterior,time_to_fall,0,1,0.49464,0.50593,1000.0,640,27862,12000
rssm,post_deter,time_to_fall,0,1,0.49661,0.45116,1000.0,512,27862,12000
rssm,post_stoch,time_to_fall,0,1,0.15317,-0.03207,1000.0,128,27862,12000
rssm,prior,time_to_fall,0,1,0.4968,0.485,1000.0,640,27862,12000
rssm,enc,reward_stand,0,1,0.77753,0.95494,10.0,64,28000,12000
rssm,posterior,reward_stand,0,1,0.92896,0.9667,10.0,640,28000,12000
rssm,post_deter,reward_stand,0,1,0.92895,0.96201,10.0,512,28000,12000
rssm,post_stoch,reward_stand,0,1,0.19015,0.4624,1000.0,128,28000,12000
rssm,prior,reward_stand,0,1,0.92895,0.96171,10.0,640,28000,12000
rssm,enc,reward_walk,0,1,0.53255,0.69347,10.0,64,28000,12000
rssm,posterior,reward_walk,0,1,0.5903,0.67395,1000.0,640,28000,12000
rssm,post_deter,reward_walk,0,1,0.58647,0.63482,1000.0,512,28000,12000
rssm,post_stoch,reward_walk,0,1,0.13902,0.24785,1000.0,128,28000,12000
rssm,prior,reward_walk,0,1,0.58644,0.63489,1000.0,640,28000,12000
rssm,enc,reward_run,0,1,0.7394,0.88626,1.0,64,28000,12000
rssm,posterior,reward_run,0,1,0.84866,0.89311,1000.0,640,28000,12000
rssm,post_deter,reward_run,0,1,0.848,0.88138,1000.0,512,28000,12000
rssm,post_stoch,reward_run,0,1,0.18368,0.44246,1000.0,128,28000,12000
rssm,prior,reward_run,0,1,0.84756,0.88214,1000.0,640,28000,12000
