model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.98597,0.99688,0.001,64,28000,12000
rssm,posterior,state,0,1,0.99317,0.98931,10.0,640,28000,12000
rssm,post_deter,state,0,1,0.98349,0.97955,10.0,512,28000,12000
rssm,post_stoch,state,0,1,0.63999,0.8682,10.0,128,28000,12000
rssm,prior,state,0,1,0.98432,0.97756,10.0,640,28000,12000
rssm,enc,state,1,1,0.50702,0.50705,10.0,64,27972,11988
rssm,posterior,state,1,1,0.53786,0.38711,1000.0,640,27972,11988
rssm,post_deter,state,1,1,0.53495,0.38632,1000.0,512,27972,11988
rssm,post_stoch,state,1,1,0.40172,0.43556,10.0,128,27972,11988
rssm,prior,state,1,1,0.53611,0.39797,1000.0,640,27972,11988
rssm,imag1,state,1,1,0.98434,0.97787,10.0,640,27972,11988
rssm,enc,state,5,1,0.30231,0.32268,10.0,64,27860,11940
rssm,posterior,state,5,1,0.35508,0.13859,1000.0,640,27860,11940
rssm,post_deter,state,5,1,0.35534,0.16319,1000.0,512,27860,11940
rssm,post_stoch,state,5,1,0.26866,0.26102,10.0,128,27860,11940
rssm,prior,state,5,1,0.35586,0.16772,1000.0,640,27860,11940
rssm,imag5,state,5,1,0.98024,0.97322,10.0,640,27860,11940
rssm,enc,state,20,1,0.21108,0.18113,10.0,64,27440,11760
rssm,posterior,state,20,1,0.21359,-0.04578,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.21223,-0.049,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.17137,0.13008,10.0,128,27440,11760
rssm,prior,state,20,1,0.21303,-0.02319,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.97421,0.96702,10.0,640,27440,11760
rssm,enc,return_to_go,0,1,0.88837,0.92248,10.0,64,28000,12000
rssm,posterior,return_to_go,0,1,0.93494,0.92485,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,0.93429,0.9209,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,0.79988,0.90234,10.0,128,28000,12000
rssm,prior,return_to_go,0,1,0.93475,0.92154,1000.0,640,28000,12000
rssm,enc,regime,0,1,0.94408,0.9965,1.0,64,28000,12000
rssm,posterior,regime,0,1,0.99073,0.997,10.0,640,28000,12000
rssm,post_deter,regime,0,1,0.98816,0.99455,10.0,512,28000,12000
rssm,post_stoch,regime,0,1,0.88596,0.97137,10.0,128,28000,12000
rssm,prior,regime,0,1,0.98997,0.99549,10.0,640,28000,12000
rssm,enc,in_regime,0,1,0.36612,0.87887,10.0,64,28000,12000
rssm,posterior,in_regime,0,1,0.5001,0.95003,10.0,640,28000,12000
rssm,post_deter,in_regime,0,1,0.48423,0.93424,10.0,512,28000,12000
rssm,post_stoch,in_regime,0,1,0.33775,0.67602,10.0,128,28000,12000
rssm,prior,in_regime,0,1,0.52057,0.92884,10.0,640,28000,12000
