seed,iters,converged,delta_profit,delta_price,fingerprint,punish_depth,recovered,coverage,coverage_late,punish_occupancy,undercut_rate,punish_occ_dist,ref_min_idx,punish_occ_dist_exo,exo_ref_idx,punish_label_jaccard,explore_mode,explore_mix
0,2000000,False,0.8284095520538574,0.6285714285714292,True,0.30994285714285685,True,1.0,0.39555555555555555,0.7356095,0.327374,0.536083,8,0.975571,13,0.7104618960320331,forbid,0.5
1,2000000,False,0.9461408266197041,0.7999999999999979,True,0.2711999999999999,True,1.0,0.39111111111111113,0.608077,0.2497075,0.6097975,10,0.9959045,13,0.8314081265455977,forbid,0.5
2,1899677,True,0.867614195970294,0.6714285714285712,True,0.30994285714285685,True,1.0,0.37777777777777777,0.5044031169509343,0.20577077050467,0.4313901784355972,9,0.995304991322209,13,0.8020580119738142,forbid,0.5
3,1798398,True,0.867614195970294,0.6714285714285712,True,0.30994285714285685,True,1.0,0.4533333333333333,0.6499629114356221,0.278098618881916,0.49919039055870834,9,0.9930154504175382,13,0.7470461083528963,forbid,0.5
4,2000000,False,0.8284095520538574,0.6285714285714292,True,0.2711999999999999,True,1.0,0.7911111111111111,0.636388,0.2513165,0.571579,8,0.9786455,13,0.690271647227312,forbid,0.5
0,100034,True,0.9868543032699116,1.0999999999999988,False,0.387428571428571,False,0.022222222222222223,0.0044444444444444444,0.0,0.0,3.9986404622428376e-05,14,1.9993202311214188e-05,13,0.0,forbid,1.0
1,100041,True,0.9868543032699116,1.0999999999999988,False,0.387428571428571,False,0.03111111111111111,0.0044444444444444444,0.0,0.0,0.00010995491848342179,14,2.9987705040933217e-05,13,0.0,forbid,1.0
2,100035,True,0.9868543032699116,1.0999999999999988,False,0.387428571428571,False,0.022222222222222223,0.0044444444444444444,0.0,0.0,4.9982506122857e-05,14,3.99860048982856e-05,13,0.0,forbid,1.0
3,100040,True,0.9868543032699116,1.0999999999999988,False,0.387428571428571,False,0.03111111111111111,0.0044444444444444444,0.0,0.0,9.996001599360256e-05,14,2.9988004798080768e-05,13,0.0,forbid,1.0
4,100030,True,0.9868543032699116,1.0999999999999988,False,0.387428571428571,False,0.0044444444444444444,0.0044444444444444444,0.0,0.0,0.0,14,0.0,13,0.0,forbid,1.0
5,100036,True,0.9868543032699116,1.0999999999999988,False,0.387428571428571,False,0.02666666666666667,0.0044444444444444444,0.0,0.0,5.9978407773201646e-05,14,4.998200647766804e-05,13,0.0,forbid,1.0
6,100033,True,0.9868543032699116,1.0999999999999988,False,0.387428571428571,False,0.017777777777777778,0.0044444444444444444,0.0,0.0,2.9990103265922244e-05,14,1.99934021772815e-05,13,0.0,forbid,1.0
7,100035,True,0.9868543032699116,1.0999999999999988,False,0.387428571428571,False,0.022222222222222223,0.0044444444444444444,0.0,0.0,4.9982506122857e-05,14,3.99860048982856e-05,13,0.0,forbid,1.0
8,100042,True,0.9868543032699116,1.0999999999999988,False,0.387428571428571,False,0.035555555555555556,0.0044444444444444444,0.0,0.0,0.00011994962115911317,14,3.9983207053037726e-05,13,0.0,forbid,1.0
9,100031,True,0.9868543032699116,1.0999999999999988,False,0.387428571428571,False,0.008888888888888889,0.0044444444444444444,0.0,0.0,9.996900960702183e-06,14,9.996900960702183e-06,13,0.0,forbid,1.0
0,1589084,True,0.7456789749871838,0.6500000000000002,False,0.32543999999999973,False,1.0,0.48444444444444446,0.960801316985131,0.4767180337855016,0.41828940446194157,4,0.9883769517533372,13,0.42898753714306953,force,0.5
1,1559173,True,0.7529908599499688,0.6285714285714282,True,0.3021942857142854,True,1.0,0.4622222222222222,0.9891474518863526,0.48865199692401035,0.5331217254275183,5,0.9952397841676325,13,0.5323962194349555,force,0.5
2,2000000,False,0.8935143167405957,0.9127142857142855,False,0.06973714285714294,False,1.0,0.6977777777777778,0.989432,0.485714,0.5208375,6,0.98981,13,0.512567089408812,force,0.5
3,1693897,True,0.7999942485803588,0.6285714285714282,False,0.17821714285714263,False,1.0,0.5466666666666666,0.9956189780134211,0.4797576239877631,0.5184146379620485,6,0.9965239917185047,13,0.5168454130309679,force,0.5
4,1657095,True,0.8284095520538574,0.6285714285714292,True,0.2712000000000001,True,1.0,0.3511111111111111,0.5768269169842405,0.27841554044879746,0.4781349288966535,8,0.9819443061502208,13,0.8125708289829346,force,0.5
