model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.99049,0.99847,1.0,64,28000,12000
rssm,posterior,state,0,1,0.99387,0.99494,10.0,640,28000,12000
rssm,post_deter,state,0,1,0.97715,0.98477,10.0,512,28000,12000
rssm,post_stoch,state,0,1,0.80476,0.96127,0.001,128,28000,12000
rssm,prior,state,0,1,0.98126,0.98424,10.0,640,28000,12000
rssm,enc,state,1,1,0.88168,0.93968,0.001,64,27972,11988
rssm,posterior,state,1,1,0.93548,0.95215,10.0,640,27972,11988
rssm,post_deter,state,1,1,0.92075,0.94185,10.0,512,27972,11988
rssm,post_stoch,state,1,1,0.7413,0.9091,0.1,128,27972,11988
rssm,prior,state,1,1,0.92685,0.94102,10.0,640,27972,11988
rssm,imag1,state,1,1,0.98127,0.98447,10.0,640,27972,11988
rssm,enc,state,5,1,0.60494,0.78875,1.0,64,27860,11940
rssm,posterior,state,5,1,0.76243,0.80894,10.0,640,27860,11940
rssm,post_deter,state,5,1,0.74915,0.78422,10.0,512,27860,11940
rssm,post_stoch,state,5,1,0.53208,0.76385,10.0,128,27860,11940
rssm,prior,state,5,1,0.75809,0.79055,10.0,640,27860,11940
rssm,imag5,state,5,1,0.95906,0.96405,10.0,640,27860,11940
rssm,enc,state,20,1,0.19394,0.32231,0.001,64,27440,11760
rssm,posterior,state,20,1,0.27581,0.22915,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.26506,0.18599,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.18359,0.28506,10.0,128,27440,11760
rssm,prior,state,20,1,0.26959,0.20408,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.86794,0.89179,10.0,640,27440,11760
rssm,enc,return_to_go,0,1,0.07768,0.14936,10.0,64,28000,12000
rssm,posterior,return_to_go,0,1,0.14911,-0.10811,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,0.14698,-0.15922,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,0.10291,0.0994,10.0,128,28000,12000
rssm,prior,return_to_go,0,1,0.14776,-0.11308,1000.0,640,28000,12000
rssm,enc,regime,0,1,0.8862,0.99555,1.0,64,28000,12000
rssm,posterior,regime,0,1,0.99106,0.99528,10.0,640,28000,12000
rssm,post_deter,regime,0,1,0.98638,0.99015,10.0,512,28000,12000
rssm,post_stoch,regime,0,1,0.80318,0.9761,10.0,128,28000,12000
rssm,prior,regime,0,1,0.98772,0.99065,10.0,640,28000,12000
rssm,enc,in_regime,0,1,0.30499,0.85305,10.0,64,28000,12000
rssm,posterior,in_regime,0,1,0.36253,0.8561,10.0,640,28000,12000
rssm,post_deter,in_regime,0,1,0.34844,0.75534,10.0,512,28000,12000
rssm,post_stoch,in_regime,0,1,0.21886,0.68859,10.0,128,28000,12000
rssm,prior,in_regime,0,1,0.37129,0.74197,10.0,640,28000,12000
