seed,iters,converged,delta_profit,delta_price,fingerprint,punish_depth,recovered,coverage,punish_occupancy,undercut_rate
0,1780332,True,0.7939943269860141,0.5857142857142873,True,0.2712000000000001,True,1.0,0.6445932556399593,0.28378695659011915
1,1909011,True,0.8284095520538574,0.6285714285714292,False,0.0,True,1.0,0.47457243567480756,0.19910257196003586
2,1953073,True,0.8284095520538578,0.6285714285714292,True,0.2712000000000001,True,1.0,0.598741060882005,0.26514779529490196
3,1895651,True,0.9461408266197031,0.7999999999999979,True,0.38742857142857123,True,1.0,0.5264782388741388,0.22788741176514032
4,2000000,False,0.7475167886897001,0.5428571428571439,True,0.2712000000000001,True,1.0,0.700865,0.3214235
5,1622050,True,0.867614195970294,0.6714285714285712,True,0.2711999999999999,True,1.0,0.6189445454825684,0.27374865139792237
6,1511521,True,0.8752956508456492,0.8428571428571419,False,0.43391999999999986,False,1.0,0.9614672902328185,0.4268184166809459
7,1941777,True,0.8284095520538578,0.6285714285714292,True,0.2712000000000001,True,1.0,0.5470473694971153,0.23459748467511976
8,2000000,False,0.8204172984081725,0.6709999999999998,True,0.37193142857142836,True,1.0,0.887247,0.44382
9,1993663,True,0.9034583848008858,0.735714285714285,True,0.4029257142857141,True,1.0,0.6712197598089547,0.30081412956954107
10,1918764,True,0.7782984346416105,0.6285714285714282,False,0.24795428571428557,False,1.0,0.9520863430833599,0.4552972642805473
11,2000000,False,0.8673023661085464,0.7849999999999989,False,0.3564342857142855,False,1.0,0.9785105,0.4637365
12,2000000,False,0.8284095520538574,0.6285714285714292,True,0.30994285714285685,True,1.0,0.552944,0.24355
13,1941619,True,0.7475167886897001,0.5428571428571439,True,0.19371428571428595,True,1.0,0.6489027970987099,0.28156502382805276
14,1968112,True,0.916754768010103,0.7785714285714279,True,0.4261714285714284,True,1.0,0.9763844740543222,0.46164954027006594
15,1585801,True,0.9461408266197031,0.7999999999999979,True,0.38742857142857123,True,1.0,0.6707380055883431,0.29560581687109544
16,1567669,True,0.6886192658390157,0.5000000000000004,False,0.3021942857142854,False,1.0,0.9275274308543449,0.4181628902529807
17,1638639,True,0.7939943269860141,0.5857142857142873,True,0.2712000000000001,True,1.0,0.6276977418455194,0.2737076317602596
18,1752599,True,0.8070796802553728,0.6727142857142856,False,0.37193142857142836,False,1.0,0.8194218985632196,0.3377024635983474
19,2000000,False,0.6883159107837347,0.5000000000000004,True,0.15497142857142876,True,1.0,0.660347,0.2860625
20,1912408,True,0.9868543032699116,1.0999999999999988,True,0.5036571428571424,True,1.0,0.7434621691605557,0.34297440713487914
21,1528118,True,0.7939943269860141,0.5857142857142873,True,0.3099428571428573,True,1.0,0.5886286268468797,0.2551399826453193
22,2000000,False,0.8950847214005064,0.7142857142857131,True,0.34868571428571404,True,1.0,0.7290295,0.3278365
23,1682617,True,0.9572631103674928,0.9071428571428557,False,0.43391999999999986,False,1.0,0.8774397263310665,0.3954322344300575
24,1772682,True,0.9461408266197041,0.7999999999999979,True,0.3099428571428571,True,1.0,0.7070410823825142,0.31454146880263917
25,1998465,True,0.7475167886897001,0.5428571428571439,True,0.15497142857142876,True,1.0,0.4621121710913126,0.20111735757193647
26,1835468,True,0.9262724151746672,0.7571428571428556,True,0.2711999999999999,True,1.0,0.5693381742422097,0.24731839509051642
27,1802673,True,0.8950847214005064,0.7142857142857131,True,0.2711999999999999,True,1.0,0.5751631050112804,0.24980071260844314
28,1663371,True,0.981322970796699,0.9071428571428557,True,0.38742857142857123,True,1.0,0.6601052922048057,0.29158317657335614
29,1496980,True,0.6075957678273336,0.41428571428571564,True,0.19371428571428573,True,1.0,0.6543514275407821,0.2897206375502679
30,1605002,True,0.8284095520538578,0.6285714285714292,True,0.3099428571428573,True,1.0,0.5857494258574133,0.25620404211334313
31,1658537,True,0.7735147738999218,0.615285714285715,False,0.2711999999999999,False,1.0,0.952585923618225,0.39534782763363135
32,1876416,True,0.9461408266197041,0.7999999999999979,True,0.1937142857142855,True,1.0,0.5165549643575839,0.22529758859442683
33,1618352,True,0.9686135820970799,0.8428571428571413,True,0.4261714285714284,True,1.0,0.5818171819233393,0.24964408237515695
34,1448396,True,0.9262724151746672,0.7571428571428556,True,0.38742857142857123,True,1.0,0.672958914550993,0.3003757259754929
35,2000000,False,0.6883159107837347,0.5000000000000004,True,0.23245714285714292,True,1.0,0.753578,0.3191895
36,1901710,True,0.7744661959707597,0.5857142857142859,False,0.3021942857142854,False,1.0,0.9794369278175957,0.4406144995819552
37,2000000,False,0.7765220207353097,0.7275714285714283,False,0.30219428571428564,False,1.0,0.965484,0.4530775
38,1951159,True,0.9963996779886849,0.9714285714285696,True,0.4649142857142856,True,1.0,0.5406309788182306,0.23274371796455337
39,1390662,True,0.8284095520538578,0.6285714285714292,True,0.3099428571428573,True,1.0,0.7381419784246639,0.33330960362762485
40,1799200,True,0.8112019395199357,0.6071428571428583,True,0.33318857142857117,True,1.0,0.5842229879946643,0.25381558470431304
41,1964910,True,0.9963996779886853,0.9714285714285696,True,0.38742857142857146,True,1.0,0.8197179514583365,0.36266139416054677
42,2000000,False,0.6538476705410136,0.4571428571428581,True,0.19371428571428573,True,1.0,0.6035475,0.264832
43,1615040,True,0.867614195970294,0.6714285714285712,True,0.30994285714285685,True,1.0,0.6506117495541907,0.27986984842480683
44,1604194,True,0.8950847214005064,0.7142857142857131,True,0.34868571428571404,True,1.0,0.6231203956628687,0.26791086364866096
45,1743035,True,0.9299112742521922,0.8857142857142848,False,0.3641828571428569,False,1.0,0.9680476869368658,0.4526495451898556
46,2000000,False,0.9905084753877653,1.014285714285713,True,0.4261714285714284,True,1.0,0.663367,0.279157
47,2000000,False,0.7621044817641904,0.5642857142857148,True,0.3176914285714283,True,1.0,0.47623,0.2046825
48,1851196,True,0.7999942485803583,0.6285714285714282,False,0.294445714285714,False,1.0,0.9571525651524744,0.43643028615014295
49,1951411,True,0.9919682083857728,0.9714285714285696,False,0.3409371428571428,False,1.0,0.5737207589790156,0.2548919730389959
50,1937628,True,0.7475167886897001,0.5428571428571439,True,0.19371428571428595,True,1.0,0.5467194941443868,0.23604788948136587
51,1709899,True,0.7939943269860141,0.5857142857142873,True,0.2712000000000001,True,1.0,0.5776972791960227,0.255121501328441
52,2000000,False,0.6704099707781734,0.5565714285714285,False,0.32543999999999973,False,1.0,0.7771365,0.350187
53,1602584,True,0.867614195970294,0.6714285714285712,True,0.34868571428571404,True,1.0,0.662818922440259,0.29340614906925316
54,2000000,False,0.6013383250825941,0.41428571428571564,True,0.1859657142857143,True,1.0,0.906806,0.4166505
55,2000000,False,0.9802829199033936,0.8857142857142848,True,0.38742857142857146,True,1.0,0.5461135,0.2388705
56,1525843,True,0.9461408266197031,0.7999999999999979,True,0.34868571428571427,True,1.0,0.6780232304372075,0.29441430081600795
57,2000000,False,0.7302950243566281,0.6714285714285722,False,0.3564342857142855,False,1.0,0.979337,0.4722885
58,2000000,False,0.28164897207234924,0.2857142857142859,False,0.10073142857142847,False,1.0,0.9806425,0.4521475
59,1611473,True,0.7068412986370184,0.5000000000000004,True,0.2712000000000001,True,1.0,0.5514774371025764,0.2373114535583283
