run_id,arm,side,seed,head_trained,smoke,probeset_sha,probe_r2,probe_mse_all,n_probe_mse_all,probe_mse_in_regime,n_probe_mse_in_regime,probe_mse_out_regime,n_probe_mse_out_regime,probe_mse_rewarded,n_probe_mse_rewarded,probe_mse_unrewarded,n_probe_mse_unrewarded,cons_err_all,n_cons_err_all,cons_err_in_regime,n_cons_err_in_regime,cons_err_out_regime,n_cons_err_out_regime,cons_err_rewarded,n_cons_err_rewarded,cons_err_unrewarded,n_cons_err_unrewarded,rew_head_mse_all,n_rew_head_mse_all,rew_head_mse_in_regime,n_rew_head_mse_in_regime,rew_head_mse_out_regime,n_rew_head_mse_out_regime,rew_head_mse_rewarded,n_rew_head_mse_rewarded,rew_head_mse_unrewarded,n_rew_head_mse_unrewarded
tm2wm_finger_awareq1s0_seed1,aware,0,1,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.6250332294199903,0.024301837427178598,30030,0.06426879335601646,2094,0.02130603252615532,27936,0.06259899291049276,2092,0.0214341429153634,27938,0.00013517370232363343,60000,0.00017990041846390422,5440,0.00013071414704865042,54560,0.00017990041846390422,5440,0.00013071414704865042,54560,0.020802921571035093,60000,0.19449583334649048,5440,0.0034845667312536164,54560,0.19449583334649048,5440,0.0034845667312536164,54560
tm2wm_finger_awareq1s0_seed10,aware,0,10,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.6331787033578558,0.02377392402541467,30030,0.12481647967068317,2094,0.016200072667983675,27936,0.12285562411480262,2092,0.0163546772437195,27938,0.00012000132799297869,60000,0.00015302635018210085,5440,0.00011670851053130668,54560,0.00015302635018210085,5440,0.00011670851053130668,54560,0.014709695264159169,60000,0.10107272776090455,5440,0.006098718416976348,54560,0.10107272776090455,5440,0.006098718416976348,54560
tm2wm_finger_awareq1s0_seed11,aware,0,11,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.6366338918963492,0.02354999103526507,30030,0.07500524257924393,2094,0.019693057446594834,27936,0.07348247575683073,2092,0.019811042003927273,27938,0.00011616933203244268,60000,0.00014622489785568526,5440,0.00011317258939904019,54560,0.00014622489785568526,5440,0.00011317258939904019,54560,0.011667652657747095,60000,0.06346110195689268,5440,0.006503496422641672,54560,0.06346110195689268,5440,0.006503496422641672,54560
tm2wm_finger_awareq1s0_seed12,aware,0,12,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.7011378688425396,0.019369446826699502,30030,0.0450199959890873,2094,0.017446757467233575,27936,0.04391302765784345,2092,0.017531621245099056,27938,0.00010700700885151945,60000,0.00013731724691455957,5440,0.0001039848736780785,54560,0.00013731724691455957,5440,0.0001039848736780785,54560,0.016519426981755698,60000,0.10170267708640345,5440,0.008026082396541553,54560,0.10170267708640345,5440,0.008026082396541553,54560
tm2wm_finger_awareq1s0_seed13,aware,0,13,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.6040444574040886,0.025662133232957803,30030,0.10240766066094924,2094,0.019909515305043497,27936,0.10060544149884358,2092,0.020050371442842795,27938,0.00013762366883584036,60000,0.00020098636722590366,5440,0.00013130598043331206,54560,0.00020098636722590366,5440,0.00013130598043331206,54560,0.015287028793177983,60000,0.1289827023754093,5440,0.003950803274715033,54560,0.1289827023754093,5440,0.003950803274715033,54560
tm2wm_finger_awareq1s0_seed14,aware,0,14,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.596596914814949,0.026144813255385653,30030,0.09739977203891037,2094,0.02080375212663778,27936,0.09616906770209277,2092,0.020901390665990883,27938,0.00014291084055026508,60000,0.00020108359841632296,5440,0.00013711062422344406,54560,0.00020108359841632296,5440,0.00013711062422344406,54560,0.01365550050194812,60000,0.11095165579441137,5440,0.003954417569561755,54560,0.11095165579441137,5440,0.003954417569561755,54560
tm2wm_finger_awareq1s0_seed15,aware,0,15,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.6430646000456575,0.023133212706496414,30030,0.056175689422811294,2094,0.020656446303147207,27936,0.054787713357396545,2092,0.02076292079720859,27938,0.00014535768310488492,60000,0.0001960295966064089,5440,0.00014030535155341333,54560,0.0001960295966064089,5440,0.00014030535155341333,54560,0.015060121026402395,60000,0.1054819054058214,5440,0.006044459240771175,54560,0.1054819054058214,5440,0.006044459240771175,54560
tm2wm_finger_awareq1s0_seed16,aware,0,16,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.6577470102584955,0.02218163626285685,30030,0.05378653694326326,2094,0.019812626310652844,27936,0.05247282224902817,2092,0.019913429480586445,27938,0.0001054752264332971,60000,0.00014244990608377147,5440,0.00010178860148280991,54560,0.00014244990608377147,5440,0.00010178860148280991,54560,0.017374328388117116,60000,0.09709652537139846,5440,0.009425487633185839,54560,0.09709652537139846,5440,0.009425487633185839,54560
tm2wm_finger_awareq1s0_seed2,aware,0,2,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.5872979450553968,0.02674748546281174,30030,0.06745305348741898,2094,0.023696316381929452,27936,0.06624029099593116,2092,0.023790260565707946,27938,0.0001326681519088576,60000,0.00017156861526493284,5440,0.00012878951333376507,54560,0.00017156861526493284,5440,0.00012878951333376507,54560,0.015385735246304787,60000,0.1409561748983035,5440,0.002865515456955938,54560,0.1409561748983035,5440,0.002865515456955938,54560
tm2wm_finger_awareq1s0_seed3,aware,0,3,1,0,a78fe58ca526b51c9fd567b9627e6524eef9df55d918d49ac3f24994c452c786,0.5973617198712715,0.026095245748074317,30030,0.08206199658378832,2094,0.021900143505448846,27936,0.08054390073650958,2092,0.022018125473330003,27938,0.0001334058287983377,60000,0.0001848019631991934,5440,0.00012828128753842834,54560,0.0001848019631991934,5440,0.00012828128753842834,54560,0.015141076552260907,60000,0.14190446719950336,5440,0.0025019115023892256,54560,0.14190446719950336,5440,0.0025019115023892256,54560
