model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.99279,0.99863,1.0,64,28000,12000
rssm,posterior,state,0,1,0.99567,0.99572,10.0,640,28000,12000
rssm,post_deter,state,0,1,0.99198,0.99369,10.0,512,28000,12000
rssm,post_stoch,state,0,1,0.77201,0.93045,10.0,128,28000,12000
rssm,prior,state,0,1,0.99177,0.99308,10.0,640,28000,12000
rssm,enc,state,1,1,0.89855,0.95059,1.0,64,27972,11988
rssm,posterior,state,1,1,0.94675,0.95706,10.0,640,27972,11988
rssm,post_deter,state,1,1,0.9425,0.95462,10.0,512,27972,11988
rssm,post_stoch,state,1,1,0.74422,0.88539,10.0,128,27972,11988
rssm,prior,state,1,1,0.94321,0.95548,10.0,640,27972,11988
rssm,imag1,state,1,1,0.99188,0.99343,10.0,640,27972,11988
rssm,enc,state,5,1,0.77134,0.8541,10.0,64,27860,11940
rssm,posterior,state,5,1,0.8393,0.8529,10.0,640,27860,11940
rssm,post_deter,state,5,1,0.83438,0.85011,10.0,512,27860,11940
rssm,post_stoch,state,5,1,0.66311,0.80349,1.0,128,27860,11940
rssm,prior,state,5,1,0.82864,0.85023,10.0,640,27860,11940
rssm,imag5,state,5,1,0.98388,0.98385,10.0,640,27860,11940
rssm,enc,state,20,1,0.49055,0.58057,10.0,64,27440,11760
rssm,posterior,state,20,1,0.54322,0.53696,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.54022,0.52765,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.41065,0.53351,1.0,128,27440,11760
rssm,prior,state,20,1,0.54344,0.53197,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.94259,0.95314,10.0,640,27440,11760
rssm,enc,return_to_go,0,1,0.49161,0.4819,1.0,64,28000,12000
rssm,posterior,return_to_go,0,1,0.50306,0.37109,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,0.50094,0.36926,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,0.44563,0.45915,0.001,128,28000,12000
rssm,prior,return_to_go,0,1,0.5021,0.38799,1000.0,640,28000,12000
rssm,enc,regime,0,1,0.98301,0.99843,1.0,64,28000,12000
rssm,posterior,regime,0,1,0.9962,0.99741,10.0,640,28000,12000
rssm,post_deter,regime,0,1,0.9936,0.994,10.0,512,28000,12000
rssm,post_stoch,regime,0,1,0.91578,0.98941,10.0,128,28000,12000
rssm,prior,regime,0,1,0.98957,0.99538,10.0,640,28000,12000
rssm,enc,in_regime,0,1,0.25603,0.88113,10.0,64,28000,12000
rssm,posterior,in_regime,0,1,0.26781,0.7778,10.0,640,28000,12000
rssm,post_deter,in_regime,0,1,0.24897,0.63886,10.0,512,28000,12000
rssm,post_stoch,in_regime,0,1,0.18994,0.72899,10.0,128,28000,12000
rssm,prior,in_regime,0,1,0.20603,0.68959,10.0,640,28000,12000
